city,country,region,temperature,feels_like,temp_min,temp_max,humidity,pressure,weather,weather_desc,wind_speed,clouds,timestamp,datetime_24h,datetime_12h,date,hour,time_period
Khon Kaen,TH,Northeast,36.0,37.23,36.0,36.0,34,1007,Clear,clear sky,2.46,8,1776833852,2026-04-22 04:57:32,2026-04-22 04:57:32 AM,2026-04-22,4,Night
Nakhon Ratchasima,TH,Northeast,35.69,42.69,35.59,36.36,54,1004,Clouds,scattered clouds,3.09,40,1776762013,2026-04-21 09:00:13,2026-04-21 09:00:13 AM,2026-04-21,9,Morning
Nakhon Ratchasima,TH,Northeast,35.65,42.65,33.92,36.36,53,1004,Clouds,scattered clouds,1.54,40,1776765488,2026-04-21 09:58:08,2026-04-21 09:58:08 AM,2026-04-21,9,Morning
Nakhon Ratchasima,TH,Northeast,35.04,42.04,33.64,35.08,55,1010,Clouds,few clouds,1.54,20,1776831759,2026-04-22 04:22:39,2026-04-22 04:22:39 AM,2026-04-22,4,Night
Nakhon Ratchasima,TH,Northeast,34.98,41.98,32.81,35.08,58,1008,Clouds,few clouds,1.54,20,1776832251,2026-04-22 04:30:51,2026-04-22 04:30:51 AM,2026-04-22,4,Night
Nakhon Ratchasima,TH,Northeast,35.04,42.04,34.36,35.08,55,1008,Clouds,few clouds,1.54,20,1776833912,2026-04-22 04:58:32,2026-04-22 04:58:32 AM,2026-04-22,4,Night
Phuket,TH,South,33.12,40.12,33.12,33.12,62,1008,Clouds,few clouds,4.12,20,1776753901,2026-04-21 06:45:01,2026-04-21 06:45:01 AM,2026-04-21,6,Morning
Phuket,TH,South,32.12,39.12,32.12,32.12,66,1006,Clouds,few clouds,4.63,20,1776761265,2026-04-21 08:47:45,2026-04-21 08:47:45 AM,2026-04-21,8,Morning
Phuket,TH,South,32.12,39.12,32.12,32.12,66,1006,Clouds,few clouds,4.63,20,1776762321,2026-04-21 09:05:21,2026-04-21 09:05:21 AM,2026-04-21,9,Morning
Phuket,TH,South,32.12,39.12,32.12,32.12,66,1006,Clouds,few clouds,4.12,20,1776765613,2026-04-21 10:00:13,2026-04-21 10:00:13 AM,2026-04-21,10,Morning
Phuket,TH,South,32.12,37.99,32.12,32.12,62,1010,Clouds,few clouds,2.06,20,1776831793,2026-04-22 04:23:13,2026-04-22 04:23:13 AM,2026-04-22,4,Night
Phuket,TH,South,32.12,37.99,32.12,32.12,62,1010,Clouds,few clouds,2.06,20,1776832259,2026-04-22 04:30:59,2026-04-22 04:30:59 AM,2026-04-22,4,Night
Phuket,TH,South,32.12,39.12,32.12,32.12,66,1010,Clouds,few clouds,2.06,20,1776833742,2026-04-22 04:55:42,2026-04-22 04:55:42 AM,2026-04-22,4,Night
Surat Thani,TH,South,35.99,40.6,27.9,35.99,44,1005,Clouds,few clouds,5.14,20,1776761898,2026-04-21 08:58:18,2026-04-21 08:58:18 AM,2026-04-21,8,Morning
Surat Thani,TH,South,32.99,36.86,27.9,32.99,52,1005,Clouds,few clouds,3.09,20,1776765614,2026-04-21 10:00:14,2026-04-21 10:00:14 AM,2026-04-21,10,Morning
Surat Thani,TH,South,33.89,40.89,33.89,34.99,90,1009,Clouds,few clouds,2.57,20,1776831814,2026-04-22 04:23:34,2026-04-22 04:23:34 AM,2026-04-22,4,Night
Surat Thani,TH,South,33.89,40.89,33.89,34.99,87,1009,Clouds,few clouds,2.57,20,1776832316,2026-04-22 04:31:56,2026-04-22 04:31:56 AM,2026-04-22,4,Night
Surat Thani,TH,South,34.44,41.44,34.44,34.99,80,1009,Clouds,few clouds,2.57,20,1776834014,2026-04-22 05:00:14,2026-04-22 05:00:14 AM,2026-04-22,5,Morning
Udon Thani,TH,Northeast,36.95,39.6,36.95,36.95,36,1003,Clouds,few clouds,3.09,20,1776761652,2026-04-21 08:54:12,2026-04-21 08:54:12 AM,2026-04-21,8,Morning
Udon Thani,TH,Northeast,36.95,39.6,36.95,36.95,36,1003,Clouds,few clouds,3.09,20,1776765614,2026-04-21 10:00:14,2026-04-21 10:00:14 AM,2026-04-21,10,Morning
Udon Thani,TH,Northeast,34.95,39.07,34.95,34.95,46,1008,Clouds,few clouds,3.09,20,1776831814,2026-04-22 04:23:34,2026-04-22 04:23:34 AM,2026-04-22,4,Night
Udon Thani,TH,Northeast,34.95,39.07,34.95,34.95,46,1007,Clouds,few clouds,3.09,20,1776832372,2026-04-22 04:32:52,2026-04-22 04:32:52 AM,2026-04-22,4,Night
Udon Thani,TH,Northeast,34.95,39.07,34.95,34.95,46,1007,Clouds,few clouds,3.09,20,1776834012,2026-04-22 05:00:12,2026-04-22 05:00:12 AM,2026-04-22,5,Morning
